test/episode,test/success_rate,stats_o/std,train/critic_loss,train/success_rate,stats_o/mean,test/ag_g_dist,stats_g/std,test/mean_Q,train/episode,stats_g/mean,epoch
20.0,0.0,0.05632988,0.004221266,0.0016666666666666668,0.1771143,0.47700787,0.123556234,-2.504836,100.0,0.7418844,0
40.0,0.0,0.056213427,0.0035434782,0.0033333333333333335,0.17677182,0.44099626,0.12340977,-4.459931,200.0,0.7432886,1
60.0,0.0,0.056367397,0.004327905,0.006666666666666667,0.1772589,0.42119107,0.12690307,-6.408159,300.0,0.74425715,2
80.0,0.008333333333333333,0.061612356,0.0068323216,0.0033333333333333335,0.17795245,0.46130142,0.13812914,-8.4657135,400.0,0.7467796,3
100.0,0.016666666666666666,0.06525343,0.012319216,0.016666666666666666,0.17879595,0.4363146,0.14637329,-9.98113,500.0,0.7506756,4
120.0,0.025000000000000005,0.06844407,0.008296831,0.008333333333333333,0.1789568,0.4437907,0.15230797,-11.255112,600.0,0.7520903,5
140.0,0.05833333333333334,0.071977034,0.025856748,0.023333333333333334,0.17938058,0.4321207,0.15844035,-12.12464,700.0,0.75455385,6
160.0,0.03333333333333333,0.07473316,0.026183257,0.035,0.17954989,0.3830053,0.16228941,-12.521621,800.0,0.75618696,7
180.0,0.041666666666666664,0.07657511,0.017476114,0.035,0.17982976,0.40527046,0.16455053,-13.870006,900.0,0.7579896,8
200.0,0.06666666666666667,0.07829539,0.03817984,0.06166666666666667,0.18038021,0.370572,0.16704966,-14.241035,1000.0,0.7604076,9
220.0,0.15833333333333333,0.08024635,0.03658137,0.06333333333333334,0.18084343,0.37648988,0.16919649,-13.64215,1100.0,0.7636724,10
240.0,0.09166666666666667,0.08154371,0.021975884,0.055,0.18142061,0.34254184,0.17090319,-14.112511,1200.0,0.7666525,11
260.0,0.09166666666666667,0.08239965,0.03303751,0.07833333333333334,0.18216145,0.30528393,0.17196803,-14.431736,1300.0,0.76953226,12
280.0,0.18333333333333335,0.08344271,0.03516085,0.09333333333333334,0.18290676,0.29320997,0.17279589,-14.10658,1400.0,0.7723363,13
300.0,0.26666666666666666,0.0846354,0.046701487,0.08166666666666667,0.18355067,0.25930807,0.17464288,-13.023151,1500.0,0.77501816,14
320.0,0.26666666666666666,0.0857478,0.06564801,0.12,0.18428548,0.25102496,0.1759126,-13.188645,1600.0,0.77765757,15
340.0,0.325,0.087378465,0.047392923,0.09666666666666668,0.1847787,0.23152208,0.17794852,-12.419121,1700.0,0.77938,16
360.0,0.3166666666666667,0.088760644,0.07738509,0.10833333333333334,0.18544264,0.21754201,0.17922038,-12.577548,1800.0,0.7818611,17
380.0,0.3333333333333333,0.090187885,0.05296573,0.125,0.1859827,0.22747518,0.18110691,-13.038768,1900.0,0.78347605,18
400.0,0.21666666666666667,0.09168103,0.08151102,0.09000000000000001,0.18625128,0.23733091,0.18253376,-13.634071,2000.0,0.7844846,19
420.0,0.3416666666666666,0.09311941,0.1220541,0.11833333333333333,0.18645638,0.21871233,0.1836542,-12.768688,2100.0,0.78557056,20
440.0,0.2916666666666667,0.09421762,0.08201412,0.12666666666666668,0.18674128,0.20589513,0.18394585,-12.899737,2200.0,0.7868325,21
460.0,0.2833333333333334,0.09524375,0.19830613,0.14333333333333334,0.18697818,0.21493284,0.18430269,-12.357788,2300.0,0.7879726,22
480.0,0.3916666666666666,0.096260466,0.14887738,0.15833333333333335,0.1871932,0.19993263,0.18440782,-12.662297,2400.0,0.78913814,23
500.0,0.4083333333333334,0.09695342,0.19699626,0.18166666666666667,0.18739086,0.16360162,0.18469115,-10.370846,2500.0,0.79045606,24
520.0,0.30833333333333335,0.09729215,0.30147663,0.17333333333333334,0.18766113,0.18341064,0.1842774,-13.440736,2600.0,0.79180723,25
540.0,0.4833333333333334,0.098029755,0.1419334,0.16333333333333333,0.18794848,0.16059415,0.18453538,-10.359216,2700.0,0.79301995,26
560.0,0.5083333333333333,0.09846684,0.29338482,0.18833333333333332,0.18812771,0.19416887,0.18414365,-11.5563345,2800.0,0.7942733,27
580.0,0.55,0.099116825,0.15754224,0.19000000000000003,0.18827575,0.16141056,0.18382399,-9.872529,2900.0,0.79528,28
600.0,0.5583333333333332,0.099775165,0.15503253,0.18499999999999997,0.18844585,0.16936068,0.18393724,-10.45396,3000.0,0.7962901,29
620.0,0.45,0.100094415,0.26379386,0.19833333333333333,0.18857002,0.1722449,0.1834919,-10.594154,3100.0,0.7972668,30
640.0,0.5833333333333334,0.100383855,0.099137425,0.18333333333333335,0.1887301,0.15100197,0.18347536,-10.10933,3200.0,0.7982555,31
660.0,0.5083333333333333,0.100633286,0.23043555,0.20833333333333334,0.1888697,0.15651304,0.1831079,-10.437336,3300.0,0.79896307,32
680.0,0.5583333333333333,0.10076656,0.3210077,0.19166666666666665,0.1890194,0.16408692,0.18295516,-10.642673,3400.0,0.7998479,33
700.0,0.5499999999999999,0.101006806,0.22167546,0.225,0.1890982,0.15994604,0.18276882,-11.122086,3500.0,0.8005149,34
720.0,0.5,0.10117193,0.23564489,0.18666666666666668,0.18928187,0.17738019,0.1826313,-12.094817,3600.0,0.8011973,35
740.0,0.5499999999999999,0.10133823,0.2307568,0.20333333333333337,0.18936594,0.18071215,0.18249923,-11.496818,3700.0,0.8017702,36
760.0,0.39999999999999997,0.10157806,0.37525487,0.20833333333333334,0.18949659,0.17304552,0.18222494,-12.390599,3800.0,0.8023512,37
780.0,0.5583333333333332,0.101632655,0.24837236,0.16666666666666666,0.18965067,0.16051166,0.18193811,-9.335319,3900.0,0.802969,38
800.0,0.4083333333333334,0.10198549,0.33593568,0.19333333333333336,0.18976921,0.20969547,0.18195088,-12.622288,4000.0,0.8036992,39
820.0,0.525,0.102261364,0.2381467,0.17500000000000002,0.18991025,0.16111565,0.18187809,-10.314088,4100.0,0.8042746,40
840.0,0.5666666666666668,0.102573894,0.24622269,0.18666666666666668,0.1900112,0.18401144,0.18210338,-11.405156,4200.0,0.80463433,41
860.0,0.5583333333333332,0.10285737,0.24074565,0.20833333333333334,0.19011585,0.16558431,0.18221287,-9.591218,4300.0,0.805067,42
880.0,0.625,0.10306898,0.3547767,0.21999999999999997,0.19023554,0.15937129,0.18201233,-9.748225,4400.0,0.80556303,43
900.0,0.6083333333333333,0.103225194,0.543048,0.19499999999999998,0.1903737,0.17982256,0.1819393,-10.329703,4500.0,0.8061057,44
920.0,0.625,0.103265844,0.30274042,0.17833333333333332,0.1905139,0.16194381,0.18179339,-9.146607,4600.0,0.80661845,45
940.0,0.6166666666666667,0.10346197,0.36832723,0.19499999999999998,0.1905719,0.19945085,0.18192427,-9.915172,4700.0,0.80698705,46
960.0,0.5750000000000001,0.103582,0.660093,0.19000000000000003,0.19065042,0.1898278,0.1818709,-10.489466,4800.0,0.8072533,47
980.0,0.5333333333333333,0.10368749,0.2533615,0.17166666666666663,0.19069368,0.1770962,0.18196277,-10.412922,4900.0,0.8074975,48
1000.0,0.6166666666666666,0.103755,0.28565916,0.20333333333333334,0.19073139,0.18538363,0.18187994,-11.481046,5000.0,0.8078349,49
