test/episode,stats_o/std,train/critic_loss,stats_g/mean,epoch,test/ag_g_dist,test/success_rate,stats_o/mean,test/mean_Q,train/episode,train/success_rate,stats_g/std
20.0,0.03231641,0.028993329,0.87196416,0,0.14492257,0.21666666666666667,0.26198894,-1.1752301,20.0,0.0,0.10142028
40.0,0.02928195,0.011264946,0.87658864,1,0.10376712,0.4583333333333333,0.2631399,-1.3800707,40.0,0.03333333333333333,0.09064594
60.0,0.02801761,0.010620329,0.8799761,2,0.08790356,0.625,0.2640252,-1.5275993,60.0,0.09166666666666667,0.08595448
80.0,0.027524665,0.012537128,0.8822854,3,0.05794978,0.8166666666666668,0.2645343,-1.3608984,80.0,0.16666666666666666,0.083883256
100.0,0.027497733,0.0213664,0.88243634,4,0.05542088,0.7999999999999999,0.26464754,-1.2904633,100.0,0.25,0.08298994
120.0,0.027570188,0.01820941,0.88135844,5,0.04978783,0.8083333333333332,0.26440734,-1.2593255,120.0,0.20833333333333334,0.08266347
140.0,0.027768284,0.021402583,0.8804228,6,0.03537814,0.8583333333333333,0.26418906,-0.95318127,140.0,0.27499999999999997,0.08234862
160.0,0.028073048,0.018708458,0.8802751,7,0.021074288,0.9166666666666666,0.26412907,-0.6746695,160.0,0.35833333333333334,0.08218837
180.0,0.028507411,0.02006494,0.8797307,8,0.017477034,0.9083333333333333,0.26397914,-0.64257026,180.0,0.26666666666666666,0.08263871
200.0,0.028842047,0.021623895,0.87939495,9,0.011681681,0.9,0.2639011,-0.5499797,200.0,0.3,0.082884245
220.0,0.02917474,0.020581374,0.87867516,10,0.0113482615,0.9416666666666668,0.26368272,-0.47227,220.0,0.30833333333333335,0.0832208
240.0,0.02942569,0.019391883,0.87774974,11,0.011437287,0.9250000000000002,0.26341116,-0.55888057,240.0,0.3,0.08345485
260.0,0.029599557,0.023238542,0.8776067,12,0.011869237,0.9083333333333333,0.2633727,-0.6980093,260.0,0.25833333333333336,0.08348616
280.0,0.029778888,0.02008146,0.878124,13,0.011685844,0.9333333333333332,0.26351032,-0.6408061,280.0,0.2333333333333333,0.08359635
300.0,0.029863676,0.019757088,0.8778282,14,0.011695442,0.9,0.26342627,-0.7759599,300.0,0.31666666666666665,0.08351183
320.0,0.030009245,0.018633757,0.8779004,15,0.011292092,0.9333333333333332,0.26343936,-0.6203422,320.0,0.26666666666666666,0.08369117
340.0,0.030136669,0.016815294,0.8775516,16,0.0116344765,0.9,0.26334393,-0.8369854,340.0,0.25833333333333336,0.08385851
360.0,0.030237978,0.01723635,0.8774459,17,0.012425444,0.9249999999999999,0.26330775,-0.72185737,360.0,0.2833333333333333,0.08392801
380.0,0.030339172,0.022416681,0.8769412,18,0.01228821,0.8833333333333333,0.26317146,-0.9813412,380.0,0.35000000000000003,0.08404225
400.0,0.030492192,0.016476033,0.87711406,19,0.014244251,0.9166666666666666,0.26322022,-0.88528115,400.0,0.225,0.08436901
420.0,0.030586934,0.01791448,0.8773164,20,0.012197117,0.9583333333333334,0.2632805,-0.60745686,420.0,0.25,0.08450993
440.0,0.030626094,0.019341258,0.87712693,21,0.019952552,0.9083333333333333,0.2632251,-0.7447796,440.0,0.21666666666666667,0.08447947
460.0,0.030635035,0.019317845,0.87716895,22,0.01795866,0.9500000000000001,0.2632367,-0.58085287,460.0,0.325,0.08438963
480.0,0.030683944,0.023145854,0.8775632,23,0.016864983,0.9249999999999999,0.26334158,-0.7203834,480.0,0.20833333333333334,0.08445001
500.0,0.03069529,0.023812845,0.8778589,24,0.022262184,0.9083333333333332,0.26342374,-0.9683161,500.0,0.27499999999999997,0.08443298
520.0,0.030743608,0.024307333,0.8777242,25,0.025032183,0.9083333333333332,0.2633824,-0.9254071,520.0,0.23333333333333336,0.084498085
540.0,0.030767435,0.02350614,0.8776591,26,0.027041897,0.8916666666666666,0.26336783,-1.033725,540.0,0.325,0.084532104
560.0,0.03078341,0.024168639,0.87772447,27,0.02471669,0.8916666666666666,0.26339096,-1.0734972,560.0,0.2916666666666667,0.084520556
580.0,0.03089344,0.03441215,0.8775892,28,0.032087315,0.9,0.263353,-1.1089643,580.0,0.3,0.08493925
600.0,0.030902335,0.01767588,0.87734526,29,0.022244645,0.9166666666666666,0.26329052,-0.79699856,600.0,0.23333333333333336,0.08490515
620.0,0.030949304,0.022330547,0.8773999,30,0.04157373,0.8250000000000001,0.26331693,-1.8638705,620.0,0.17500000000000002,0.085067905
640.0,0.030970702,0.015658988,0.87743163,31,0.03038583,0.9,0.26333925,-1.1870604,640.0,0.25833333333333336,0.08507655
660.0,0.030992622,0.041715827,0.8774784,32,0.026627487,0.9083333333333333,0.26336396,-1.0065277,660.0,0.30833333333333335,0.08510971
680.0,0.031020278,0.029615067,0.877606,33,0.024446115,0.9166666666666666,0.26340497,-1.1319156,680.0,0.25833333333333336,0.08516731
700.0,0.031040287,0.13299076,0.8777685,34,0.019304832,0.9499999999999998,0.26344937,-0.75202686,700.0,0.35833333333333334,0.08517736
720.0,0.031045148,0.02139169,0.87781364,35,0.022114063,0.9416666666666668,0.26346287,-0.85506535,720.0,0.20000000000000004,0.08516013
740.0,0.03104335,0.021494651,0.8779576,36,0.022794968,0.9333333333333332,0.26350337,-0.974991,740.0,0.25833333333333336,0.085107274
760.0,0.031060716,0.021101581,0.87801456,37,0.030674526,0.8583333333333334,0.26352495,-1.837883,760.0,0.26666666666666666,0.0851635
780.0,0.03108319,0.017062025,0.87798333,38,0.020458,0.9333333333333332,0.2635165,-1.021325,780.0,0.3416666666666666,0.08521274
800.0,0.03110534,0.019677168,0.8780191,39,0.01652108,0.9416666666666668,0.26352403,-0.9848363,800.0,0.25,0.08526454
820.0,0.031124497,0.024036095,0.87804765,40,0.023545751,0.9,0.26353556,-1.632459,820.0,0.2333333333333333,0.0853223
840.0,0.03115134,0.02210995,0.8782018,41,0.02416499,0.9083333333333333,0.26358026,-1.1923431,840.0,0.24166666666666667,0.08538377
860.0,0.03117071,0.027082747,0.87815136,42,0.019661019,0.9333333333333332,0.26357308,-0.9498828,860.0,0.30833333333333335,0.08541346
880.0,0.031173537,0.03505647,0.8783086,43,0.024813598,0.9,0.2636187,-1.7373265,880.0,0.25,0.08541647
900.0,0.031182235,0.017145498,0.8782963,44,0.021729657,0.9249999999999999,0.26362258,-1.3527707,900.0,0.18333333333333335,0.08541048
920.0,0.03117933,0.015849775,0.8783918,45,0.016989006,0.9333333333333332,0.2636505,-1.0343202,920.0,0.31666666666666665,0.085377105
940.0,0.031179974,0.041658696,0.8783925,46,0.022008434,0.9333333333333332,0.2636512,-1.1309781,940.0,0.19999999999999998,0.085359074
960.0,0.031231737,0.033004202,0.87842107,47,0.028686702,0.9,0.2636553,-1.528751,960.0,0.3333333333333333,0.0855135
980.0,0.031235412,0.03903163,0.87847525,48,0.021284783,0.9083333333333332,0.26367188,-1.482758,980.0,0.25,0.0854949
1000.0,0.031226346,0.042518914,0.87857395,49,0.01904115,0.9333333333333332,0.26369876,-1.248256,1000.0,0.325,0.08544294
1020.0,0.031232974,0.021307305,0.87857836,50,0.024728082,0.9083333333333333,0.26370034,-1.5177869,1020.0,0.225,0.08545098
1040.0,0.031232407,0.025159061,0.8785892,51,0.02526758,0.9083333333333333,0.26370147,-1.6373296,1040.0,0.25833333333333336,0.08543012
1060.0,0.031220576,0.036033448,0.8786766,52,0.024514565,0.8833333333333333,0.2637276,-1.9959303,1060.0,0.26666666666666666,0.08538646
1080.0,0.03122074,0.02129767,0.8787183,53,0.018581344,0.9166666666666666,0.26374036,-1.533342,1080.0,0.3,0.0853615
1100.0,0.031242216,0.021131398,0.87862706,54,0.028777922,0.9083333333333332,0.26371667,-1.8256688,1100.0,0.19166666666666665,0.08541915
1120.0,0.031245315,0.036930542,0.8787176,55,0.02758629,0.9083333333333333,0.26373488,-1.6957737,1120.0,0.30833333333333335,0.08542123
1140.0,0.031242514,0.027902879,0.87887573,56,0.019690728,0.9416666666666668,0.26377782,-1.1814274,1140.0,0.26666666666666666,0.08539016
1160.0,0.031227982,0.038160138,0.8787748,57,0.022127727,0.9250000000000002,0.26374984,-1.3693615,1160.0,0.29166666666666663,0.08532995
1180.0,0.031235954,0.022526605,0.87864405,58,0.019281425,0.9416666666666668,0.26371473,-1.1259131,1180.0,0.27499999999999997,0.085339904
1200.0,0.031233558,0.019907832,0.8786378,59,0.02121905,0.9083333333333332,0.2637168,-1.873427,1200.0,0.18333333333333335,0.08532237
