train/critic_loss,train/episode,stats_o/std,test/episode,test/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,epoch,test/mean_Q,stats_o/mean,train/success_rate
0.012137547,100.0,0.71922034,20.0,0.008333333333333333,0.3479732,0.15357623,0.8972034,0,-2.9341831,0.1978875,0.0016666666666666668
0.01636069,200.0,0.71368796,40.0,0.0,0.34541297,0.15702584,0.9172127,1,-5.180908,0.19930635,0.0
0.01594157,300.0,0.71088046,60.0,0.0,0.34592524,0.15777372,0.92426157,2,-7.2447476,0.19881384,0.0016666666666666668
0.020135447,400.0,0.7096855,80.0,0.0,0.3461878,0.15715894,0.90349966,3,-9.324719,0.19864754,0.0
0.029375637,500.0,0.709925,100.0,0.0,0.34680042,0.15791084,0.8867981,4,-11.168996,0.19853616,0.0
0.029998967,600.0,0.71252733,120.0,0.016666666666666666,0.34660554,0.15864737,0.8979301,5,-12.538521,0.19840676,0.0
0.03866936,700.0,0.7159807,140.0,0.025000000000000005,0.34694543,0.16003239,0.96199006,6,-14.23516,0.19870655,0.0016666666666666668
0.04398237,800.0,0.72081584,160.0,0.008333333333333333,0.34780517,0.16206305,0.8736765,7,-15.577171,0.19913459,0.0
0.056384962,900.0,0.7280181,180.0,0.0,0.34887838,0.16427183,0.96806365,8,-16.96189,0.20013487,0.005
0.06082963,1000.0,0.73576754,200.0,0.008333333333333333,0.34978876,0.16736412,0.81564856,9,-17.501701,0.20111237,0.0016666666666666668
0.06440908,1100.0,0.74283963,220.0,0.008333333333333333,0.35002097,0.16933377,0.9292486,10,-19.71006,0.20156474,0.0016666666666666668
0.12753448,1200.0,0.74831814,240.0,0.05833333333333333,0.35015273,0.17039104,0.85537887,11,-19.814716,0.20124833,0.0033333333333333335
0.11764008,1300.0,0.7526755,260.0,0.025000000000000005,0.35067353,0.1716754,0.8812671,12,-21.734306,0.20107228,0.005
0.10078507,1400.0,0.7586536,280.0,0.05833333333333333,0.3518897,0.17267887,0.9063265,13,-21.751581,0.2012539,0.005
0.13773382,1500.0,0.7635267,300.0,0.05000000000000001,0.35273758,0.17363234,0.7713377,14,-20.627596,0.20126788,0.005
0.11967293,1600.0,0.7674096,320.0,0.016666666666666666,0.35315356,0.17436714,0.89100677,15,-24.139639,0.20108287,0.008333333333333333
0.10549917,1700.0,0.7723176,340.0,0.016666666666666666,0.3539411,0.17526908,0.7706259,16,-22.724472,0.20100103,0.006666666666666667
0.13965096,1800.0,0.7768405,360.0,0.11666666666666665,0.35450938,0.17609136,0.81973267,17,-22.637606,0.20082575,0.0016666666666666668
0.14275347,1900.0,0.7810886,380.0,0.09166666666666667,0.35525623,0.17703731,0.7585283,18,-22.760368,0.20110409,0.0016666666666666668
0.1951859,2000.0,0.7851295,400.0,0.041666666666666664,0.35576954,0.17781518,0.75098664,19,-24.671844,0.20146348,0.006666666666666667
0.18161482,2100.0,0.7889349,420.0,0.016666666666666666,0.35638478,0.17850335,0.8031308,20,-26.358109,0.2017204,0.011666666666666667
0.31078908,2200.0,0.79261637,440.0,0.049999999999999996,0.3570191,0.17917807,0.84582347,21,-28.427887,0.20203896,0.006666666666666667
0.28015432,2300.0,0.795734,460.0,0.008333333333333333,0.35750005,0.17998195,0.74071735,22,-26.323708,0.20193525,0.0016666666666666668
0.21576257,2400.0,0.7992529,480.0,0.049999999999999996,0.3581166,0.1807052,0.7161996,23,-24.93221,0.20173776,0.005
0.28397787,2500.0,0.8026045,500.0,0.025000000000000005,0.35847807,0.1813968,0.72640055,24,-27.55365,0.20168276,0.0016666666666666668
0.28461203,2600.0,0.8056677,520.0,0.025000000000000005,0.35885146,0.18202953,0.8288408,25,-29.345428,0.20161004,0.0033333333333333335
0.5080932,2700.0,0.80860907,540.0,0.025000000000000005,0.35905695,0.1826288,0.7966747,26,-30.390915,0.20175327,0.0033333333333333335
0.3397207,2800.0,0.81183356,560.0,0.03333333333333333,0.35939708,0.18323775,0.8524073,27,-31.829155,0.20189552,0.0033333333333333335
0.41197887,2900.0,0.8146026,580.0,0.049999999999999996,0.35999212,0.18387818,0.75401384,28,-30.788023,0.20188355,0.01
0.41132298,3000.0,0.81790704,600.0,0.06666666666666667,0.36048004,0.18449819,0.76619786,29,-29.16633,0.2019525,0.006666666666666667
0.2961748,3100.0,0.8207998,620.0,0.05000000000000001,0.36079547,0.18488263,0.76175815,30,-31.699097,0.20185852,0.005
0.3912345,3200.0,0.82363415,640.0,0.041666666666666664,0.36116266,0.18507387,0.7524869,31,-30.525232,0.20202045,0.008333333333333333
0.5142808,3300.0,0.82622224,660.0,0.06666666666666667,0.36138764,0.18533327,0.7810089,32,-31.973673,0.20219837,0.0016666666666666668
0.5172464,3400.0,0.8287783,680.0,0.05000000000000001,0.3616117,0.18552901,0.7867288,33,-31.857386,0.20218329,0.0033333333333333335
0.7212696,3500.0,0.83122665,700.0,0.008333333333333333,0.361763,0.18570499,0.91839546,34,-36.407566,0.20221092,0.0033333333333333335
0.7719672,3600.0,0.83362156,720.0,0.041666666666666664,0.3618637,0.18607406,0.792346,35,-32.851704,0.20223095,0.006666666666666667
0.40265575,3700.0,0.8355842,740.0,0.016666666666666666,0.36207256,0.18627118,0.84233814,36,-35.99312,0.20213611,0.0033333333333333335
0.5884406,3800.0,0.83770746,760.0,0.049999999999999996,0.3623102,0.1865551,0.7563448,37,-33.56952,0.20225231,0.0033333333333333335
0.43885025,3900.0,0.8398059,780.0,0.075,0.36246952,0.18703721,0.8121783,38,-33.528934,0.20241714,0.005
0.52485996,4000.0,0.84200686,800.0,0.041666666666666664,0.3626162,0.18731721,0.7853856,39,-34.856876,0.20255637,0.005
0.48700532,4100.0,0.8441344,820.0,0.016666666666666666,0.362721,0.18757673,0.8039225,40,-35.45974,0.20259099,0.005
0.35376298,4200.0,0.8460172,840.0,0.03333333333333333,0.36288562,0.18784414,0.8605564,41,-37.29187,0.20261066,0.005
0.4190798,4300.0,0.8478052,860.0,0.041666666666666664,0.3630164,0.18812446,0.7442766,42,-31.851212,0.20262603,0.006666666666666667
0.7102353,4400.0,0.8497433,880.0,0.025000000000000005,0.36323473,0.18838911,0.789995,43,-35.806137,0.20273991,0.0033333333333333335
0.58313495,4500.0,0.8514659,900.0,0.008333333333333333,0.3633615,0.18855183,0.8370927,44,-36.159554,0.20277603,0.008333333333333333
0.5432551,4600.0,0.8533066,920.0,0.03333333333333333,0.36343288,0.18883471,0.67435837,45,-31.771614,0.20275803,0.0033333333333333335
0.48736766,4700.0,0.85485667,940.0,0.03333333333333333,0.36361876,0.18892042,0.7339163,46,-35.382786,0.2027518,0.008333333333333333
0.4207593,4800.0,0.8564136,960.0,0.06666666666666667,0.3637459,0.18903102,0.6923728,47,-31.54997,0.20280226,0.01
0.78868073,4900.0,0.8580578,980.0,0.016666666666666666,0.36387625,0.18906604,0.78064185,48,-33.21996,0.20280005,0.008333333333333333
0.6256881,5000.0,0.85943204,1000.0,0.016666666666666666,0.36392048,0.18918033,0.8542368,49,-34.219517,0.20283441,0.0033333333333333335
